       table_name       |          column_name           |          data_type          | is_nullable |                   column_default                   
------------------------+--------------------------------+-----------------------------+-------------+----------------------------------------------------
 additional_charges     | id                             | integer                     | NO          | nextval('additional_charges_id_seq'::regclass)
 additional_charges     | assignment_id                  | integer                     | NO          | 
 additional_charges     | employee_id                    | integer                     | NO          | 
 additional_charges     | apartment_id                   | integer                     | NO          | 
 additional_charges     | charge_type                    | USER-DEFINED                | NO          | 
 additional_charges     | description                    | character varying           | NO          | 
 additional_charges     | amount                         | integer                     | NO          | 
 additional_charges     | charge_date                    | date                        | NO          | 
 additional_charges     | status                         | USER-DEFINED                | NO          | 
 additional_charges     | approved_by                    | integer                     | YES         | 
 additional_charges     | approved_at                    | timestamp with time zone    | YES         | 
 additional_charges     | notes                          | text                        | YES         | 
 additional_charges     | created_at                     | timestamp with time zone    | YES         | now()
 additional_charges     | updated_at                     | timestamp with time zone    | YES         | 
 additional_charges     | deleted_at                     | timestamp without time zone | YES         | 
 admin_audit_logs       | id                             | integer                     | NO          | nextval('admin_audit_logs_id_seq'::regclass)
 admin_audit_logs       | admin_user_id                  | integer                     | NO          | 
 admin_audit_logs       | action_type                    | USER-DEFINED                | NO          | 
 admin_audit_logs       | resource_type                  | USER-DEFINED                | NO          | 
 admin_audit_logs       | resource_key                   | character varying           | YES         | 
 admin_audit_logs       | previous_value                 | text                        | YES         | 
 admin_audit_logs       | new_value                      | text                        | YES         | 
 admin_audit_logs       | ip_address                     | character varying           | YES         | 
 admin_audit_logs       | user_agent                     | text                        | YES         | 
 admin_audit_logs       | description                    | text                        | YES         | 
 admin_audit_logs       | audit_metadata                 | jsonb                       | YES         | 
 admin_audit_logs       | created_at                     | timestamp with time zone    | NO          | now()
 admin_audit_logs       | updated_at                     | timestamp with time zone    | YES         | 
 alembic_version        | version_num                    | character varying           | NO          | 
 apartment_assignments  | id                             | integer                     | NO          | nextval('apartment_assignments_id_seq'::regclass)
 apartment_assignments  | apartment_id                   | integer                     | NO          | 
 apartment_assignments  | employee_id                    | integer                     | NO          | 
 apartment_assignments  | start_date                     | date                        | NO          | 
 apartment_assignments  | end_date                       | date                        | YES         | 
 apartment_assignments  | monthly_rent                   | integer                     | NO          | 
 apartment_assignments  | days_in_month                  | integer                     | YES         | 
 apartment_assignments  | days_occupied                  | integer                     | YES         | 
 apartment_assignments  | prorated_rent                  | integer                     | YES         | 
 apartment_assignments  | is_prorated                    | boolean                     | YES         | 
 apartment_assignments  | total_deduction                | integer                     | NO          | 
 apartment_assignments  | pays_parking                   | boolean                     | NO          | 
 apartment_assignments  | contract_type                  | character varying           | YES         | 
 apartment_assignments  | status                         | USER-DEFINED                | NO          | 
 apartment_assignments  | notes                          | text                        | YES         | 
 apartment_assignments  | created_at                     | timestamp with time zone    | YES         | now()
 apartment_assignments  | updated_at                     | timestamp with time zone    | YES         | 
 apartment_assignments  | deleted_at                     | timestamp without time zone | YES         | 
 apartment_factory      | id                             | integer                     | NO          | nextval('apartment_factory_id_seq'::regclass)
 apartment_factory      | apartment_id                   | integer                     | NO          | 
 apartment_factory      | factory_id                     | integer                     | NO          | 
