             constraint_name              |      table_name       |      column_name      | referenced_table_name | referenced_column_name 
------------------------------------------+-----------------------+-----------------------+-----------------------+------------------------
 additional_charges_apartment_id_fkey     | additional_charges    | apartment_id          | apartments            | id
 additional_charges_approved_by_fkey      | additional_charges    | approved_by           | users                 | id
 additional_charges_assignment_id_fkey    | additional_charges    | assignment_id         | apartment_assignments | id
 additional_charges_employee_id_fkey      | additional_charges    | employee_id           | employees             | id
 admin_audit_logs_admin_user_id_fkey      | admin_audit_logs      | admin_user_id         | users                 | id
 apartment_assignments_apartment_id_fkey  | apartment_assignments | apartment_id          | apartments            | id
 apartment_assignments_employee_id_fkey   | apartment_assignments | employee_id           | employees             | id
 apartment_factory_apartment_id_fkey      | apartment_factory     | apartment_id          | apartments            | id
 apartment_factory_factory_id_fkey        | apartment_factory     | factory_id            | factories             | id
 apartments_region_id_fkey                | apartments            | region_id             | regions               | id
 audit_log_user_id_fkey                   | audit_log             | user_id               | users                 | id
 candidate_forms_candidate_id_fkey        | candidate_forms       | candidate_id          | candidates            | id
 candidates_approved_by_fkey              | candidates            | approved_by           | users                 | id
 contract_workers_apartment_id_fkey       | contract_workers      | apartment_id          | apartments            | id
 contract_workers_factory_id_fkey         | contract_workers      | factory_id            | factories             | factory_id
 contract_workers_rirekisho_id_fkey       | contract_workers      | rirekisho_id          | candidates            | rirekisho_id
 contracts_employee_id_fkey               | contracts             | employee_id           | employees             | id
 documents_candidate_id_fkey              | documents             | candidate_id          | candidates            | id
 documents_employee_id_fkey               | documents             | employee_id           | employees             | id
 documents_uploaded_by_fkey               | documents             | uploaded_by           | users                 | id
 employee_payroll_payroll_run_id_fkey     | employee_payroll      | payroll_run_id        | payroll_runs          | id
 employees_apartment_id_fkey              | employees             | apartment_id          | apartments            | id
 employees_current_department_id_fkey     | employees             | current_department_id | departments           | id
 employees_current_factory_id_fkey        | employees             | current_factory_id    | factories             | id
 employees_current_region_id_fkey         | employees             | current_region_id     | regions               | id
 employees_factory_id_fkey                | employees             | factory_id            | factories             | factory_id
 employees_residence_status_id_fkey       | employees             | residence_status_id   | residence_statuses    | id
 employees_residence_type_id_fkey         | employees             | residence_type_id     | residence_types       | id
 employees_rirekisho_id_fkey              | employees             | rirekisho_id          | candidates            | rirekisho_id
 employees_workplace_id_fkey              | employees             | workplace_id          | workplaces            | id
 page_visibility_last_toggled_by_fkey     | page_visibility       | last_toggled_by       | users                 | id
 payroll_settings_updated_by_id_fkey      | payroll_settings      | updated_by_id         | users                 | id
 refresh_tokens_user_id_fkey              | refresh_tokens        | user_id               | users                 | id
 rent_deductions_apartment_id_fkey        | rent_deductions       | apartment_id          | apartments            | id
 rent_deductions_assignment_id_fkey       | rent_deductions       | assignment_id         | apartment_assignments | id
 rent_deductions_employee_id_fkey         | rent_deductions       | employee_id           | employees             | id
 requests_approved_by_fkey                | requests              | approved_by           | users                 | id
 requests_candidate_id_fkey               | requests              | candidate_id          | candidates            | id
 requests_hakenmoto_id_fkey               | requests              | hakenmoto_id          | employees             | hakenmoto_id
 salary_calculations_employee_id_fkey     | salary_calculations   | employee_id           | employees             | id
 staff_rirekisho_id_fkey                  | staff                 | rirekisho_id          | candidates            | rirekisho_id
 timer_cards_approved_by_fkey             | timer_cards           | approved_by           | users                 | id
 timer_cards_hakenmoto_id_fkey            | timer_cards           | hakenmoto_id          | employees             | hakenmoto_id
 workplaces_region_id_fkey                | workplaces            | region_id             | regions               | id
 yukyu_balances_employee_id_fkey          | yukyu_balances        | employee_id           | employees             | id
 yukyu_requests_approved_by_user_id_fkey  | yukyu_requests        | approved_by_user_id   | users                 | id
 yukyu_requests_employee_id_fkey          | yukyu_requests        | employee_id           | employees             | id
 yukyu_requests_factory_id_fkey           | yukyu_requests        | factory_id            | factories             | id
 yukyu_requests_requested_by_user_id_fkey | yukyu_requests        | requested_by_user_id  | users                 | id
 yukyu_usage_details_balance_id_fkey      | yukyu_usage_details   | balance_id            | yukyu_balances        | id
 yukyu_usage_details_request_id_fkey      | yukyu_usage_details   | request_id            | yukyu_requests        | id
(51 rows)

