       table_name       |              index_name               |   column_name    | indisprimary | indisunique 
------------------------+---------------------------------------+------------------+--------------+-------------
 additional_charges     | additional_charges_pkey               | id               | t            | t
 additional_charges     | ix_additional_charges_apartment_id    | apartment_id     | f            | f
 additional_charges     | ix_additional_charges_assignment_id   | assignment_id    | f            | f
 additional_charges     | ix_additional_charges_charge_date     | charge_date      | f            | f
 additional_charges     | ix_additional_charges_deleted_at      | deleted_at       | f            | f
 additional_charges     | ix_additional_charges_employee_id     | employee_id      | f            | f
 additional_charges     | ix_additional_charges_id              | id               | f            | f
 admin_audit_logs       | admin_audit_logs_pkey                 | id               | t            | t
 admin_audit_logs       | ix_admin_audit_logs_action_type       | action_type      | f            | f
 admin_audit_logs       | ix_admin_audit_logs_admin_user_id     | admin_user_id    | f            | f
 admin_audit_logs       | ix_admin_audit_logs_created_at        | created_at       | f            | f
 admin_audit_logs       | ix_admin_audit_logs_id                | id               | f            | f
 admin_audit_logs       | ix_admin_audit_logs_resource_key      | resource_key     | f            | f
 admin_audit_logs       | ix_admin_audit_logs_resource_type     | resource_type    | f            | f
 alembic_version        | alembic_version_pkc                   | version_num      | t            | t
 apartment_assignments  | apartment_assignments_pkey            | id               | t            | t
 apartment_assignments  | ix_apartment_assignments_apartment_id | apartment_id     | f            | f
 apartment_assignments  | ix_apartment_assignments_deleted_at   | deleted_at       | f            | f
 apartment_assignments  | ix_apartment_assignments_employee_id  | employee_id      | f            | f
 apartment_assignments  | ix_apartment_assignments_end_date     | end_date         | f            | f
 apartment_assignments  | ix_apartment_assignments_id           | id               | f            | f
 apartment_assignments  | ix_apartment_assignments_start_date   | start_date       | f            | f
 apartment_factory      | apartment_factory_pkey                | id               | t            | t
 apartment_factory      | ix_apartment_factory_apartment_id     | apartment_id     | f            | f
 apartment_factory      | ix_apartment_factory_factory_id       | factory_id       | f            | f
 apartment_factory      | ix_apartment_factory_is_primary       | is_primary       | f            | f
 apartments             | apartments_apartment_code_key         | apartment_code   | f            | t
 apartments             | apartments_pkey                       | id               | t            | t
 apartments             | ix_apartments_city                    | city             | f            | f
 apartments             | ix_apartments_deleted_at              | deleted_at       | f            | f
 apartments             | ix_apartments_id                      | id               | f            | f
 apartments             | ix_apartments_name                    | name             | f            | f
 apartments             | ix_apartments_prefecture              | prefecture       | f            | f
 apartments             | ix_apartments_region_id               | region_id        | f            | f
 apartments             | ix_apartments_zone                    | zone             | f            | f
 audit_log              | audit_log_pkey                        | id               | t            | t
 audit_log              | ix_audit_log_id                       | id               | f            | f
 candidate_forms        | candidate_forms_pkey                  | id               | t            | t
 candidate_forms        | ix_candidate_forms_applicant_id       | applicant_id     | f            | f
 candidate_forms        | ix_candidate_forms_id                 | id               | f            | f
 candidate_forms        | ix_candidate_forms_rirekisho_id       | rirekisho_id     | f            | f
 candidates             | candidates_pkey                       | id               | t            | t
 candidates             | idx_candidate_date_of_birth           | date_of_birth    | f            | f
 candidates             | idx_candidate_email                   | email            | f            | f
 candidates             | idx_candidate_name_birthdate          | full_name_kanji  | f            | f
 candidates             | idx_candidate_name_birthdate          | date_of_birth    | f            | f
 candidates             | idx_candidate_name_kana_trgm          | full_name_kana   | f            | f
 candidates             | idx_candidate_name_kanji_trgm         | full_name_kanji  | f            | f
 candidates             | idx_candidate_name_roman_trgm         | full_name_roman  | f            | f
 candidates             | idx_candidate_rirekisho_id            | rirekisho_id     | f            | f
 candidates             | idx_candidate_status_active           | status           | f            | f
 candidates             | ix_candidates_deleted_at              | deleted_at       | f            | f
 candidates             | ix_candidates_id                      | id               | f            | f
 candidates             | ix_candidates_rirekisho_id            | rirekisho_id     | f            | t
 contract_workers       | contract_workers_pkey                 | id               | t            | t
 contract_workers       | ix_contract_workers_deleted_at        | deleted_at       | f            | f
 contract_workers       | ix_contract_workers_hakenmoto_id      | hakenmoto_id     | f            | t
 contract_workers       | ix_contract_workers_id                | id               | f            | f
 contracts              | contracts_contract_number_key         | contract_number  | f            | t
 contracts              | contracts_pkey                        | id               | t            | t
 contracts              | ix_contracts_deleted_at               | deleted_at       | f            | f
 contracts              | ix_contracts_id                       | id               | f            | f
 departments            | departments_name_key                  | name             | f            | t
 departments            | departments_pkey                      | id               | t            | t
 departments            | ix_departments_id                     | id               | f            | f
 documents              | documents_pkey                        | id               | t            | t
 documents              | ix_documents_id                       | id               | f            | f
 employee_payroll       | employee_payroll_pkey                 | id               | t            | t
 employee_payroll       | ix_employee_payroll_employee_id       | employee_id      | f            | f
 employee_payroll       | ix_employee_payroll_id                | id               | f            | f
 employee_payroll       | ix_employee_payroll_payroll_run_id    | payroll_run_id   | f            | f
 employees              | employees_pkey                        | id               | t            | t
 employees              | idx_employee_factory_id               | factory_id       | f            | f
 employees              | idx_employee_hakenmoto_id             | hakenmoto_id     | f            | t
 employees              | idx_employee_name_kanji_trgm          | full_name_kanji  | f            | f
 employees              | idx_employee_rirekisho_id             | rirekisho_id     | f            | f
 employees              | ix_employees_deleted_at               | deleted_at       | f            | f
 employees              | ix_employees_hakenmoto_id             | hakenmoto_id     | f            | t
 employees              | ix_employees_id                       | id               | f            | f
 factories              | factories_pkey                        | id               | t            | t
 factories              | ix_factories_deleted_at               | deleted_at       | f            | f
 factories              | ix_factories_factory_id               | factory_id       | f            | t
 factories              | ix_factories_id                       | id               | f            | f
 page_visibility        | ix_page_visibility_id                 | id               | f            | f
 page_visibility        | ix_page_visibility_page_key           | page_key         | f            | t
 page_visibility        | page_visibility_pkey                  | id               | t            | t
 payroll_runs           | ix_payroll_runs_id                    | id               | f            | f
 payroll_runs           | ix_payroll_runs_pay_period_end        | pay_period_end   | f            | f
 payroll_runs           | ix_payroll_runs_pay_period_start      | pay_period_start | f            | f
 payroll_runs           | ix_payroll_runs_status                | status           | f            | f
 payroll_runs           | payroll_runs_pkey                     | id               | t            | t
 payroll_settings       | ix_payroll_settings_company_id        | company_id       | f            | f
 payroll_settings       | ix_payroll_settings_id                | id               | f            | f
 payroll_settings       | payroll_settings_pkey                 | id               | t            | t
 refresh_tokens         | ix_refresh_tokens_id                  | id               | f            | f
 refresh_tokens         | ix_refresh_tokens_token               | token            | f            | t
 refresh_tokens         | refresh_tokens_pkey                   | id               | t            | t
 regions                | ix_regions_id                         | id               | f            | f
 regions                | regions_name_key                      | name             | f            | t
 regions                | regions_pkey                          | id               | t            | t
 rent_deductions        | ix_rent_deductions_apartment_id       | apartment_id     | f            | f
 rent_deductions        | ix_rent_deductions_assignment_id      | assignment_id    | f            | f
 rent_deductions        | ix_rent_deductions_deleted_at         | deleted_at       | f            | f
 rent_deductions        | ix_rent_deductions_employee_id        | employee_id      | f            | f
 rent_deductions        | ix_rent_deductions_id                 | id               | f            | f
 rent_deductions        | ix_rent_deductions_month              | month            | f            | f
 rent_deductions        | ix_rent_deductions_year               | year             | f            | f
 rent_deductions        | rent_deductions_pkey                  | id               | t            | t
 rent_deductions        | uq_assignment_year_month              | assignment_id    | f            | t
 rent_deductions        | uq_assignment_year_month              | year             | f            | t
 rent_deductions        | uq_assignment_year_month              | month            | f            | t
 requests               | ix_requests_id                        | id               | f            | f
 requests               | requests_pkey                         | id               | t            | t
 residence_statuses     | ix_residence_statuses_id              | id               | f            | f
 residence_statuses     | residence_statuses_code_key           | code             | f            | t
 residence_statuses     | residence_statuses_name_key           | name             | f            | t
 residence_statuses     | residence_statuses_pkey               | id               | t            | t
 residence_types        | ix_residence_types_id                 | id               | f            | f
 residence_types        | residence_types_name_key              | name             | f            | t
 residence_types        | residence_types_pkey                  | id               | t            | t
 role_page_permissions  | ix_role_page_permissions_id           | id               | f            | f
 role_page_permissions  | ix_role_page_permissions_page_key     | page_key         | f            | f
 role_page_permissions  | ix_role_page_permissions_role_key     | role_key         | f            | f
 role_page_permissions  | role_page_permissions_pkey            | id               | t            | t
 salary_calculations    | ix_salary_calculations_id             | id               | f            | f
 salary_calculations    | salary_calculations_pkey              | id               | t            | t
 social_insurance_rates | ix_social_insurance_rates_id          | id               | f            | f
 social_insurance_rates | social_insurance_rates_pkey           | id               | t            | t
 staff                  | ix_staff_deleted_at                   | deleted_at       | f            | f
 staff                  | ix_staff_id                           | id               | f            | f
 staff                  | ix_staff_staff_id                     | staff_id         | f            | t
 staff                  | staff_pkey                            | id               | t            | t
 system_settings        | ix_system_settings_id                 | id               | f            | f
 system_settings        | ix_system_settings_key                | key              | f            | t
 system_settings        | system_settings_pkey                  | id               | t            | t
 timer_cards            | ix_timer_cards_id                     | id               | f            | f
 timer_cards            | timer_cards_pkey                      | id               | t            | t
 users                  | ix_users_email                        | email            | f            | t
 users                  | ix_users_id                           | id               | f            | f
 users                  | ix_users_username                     | username         | f            | t
 users                  | users_pkey                            | id               | t            | t
 workplaces             | ix_workplaces_id                      | id               | f            | f
 workplaces             | ix_workplaces_name                    | name             | f            | t
 workplaces             | workplaces_pkey                       | id               | t            | t
 yukyu_balances         | ix_yukyu_balances_employee_id         | employee_id      | f            | f
 yukyu_balances         | ix_yukyu_balances_fiscal_year         | fiscal_year      | f            | f
 yukyu_balances         | ix_yukyu_balances_id                  | id               | f            | f
 yukyu_balances         | yukyu_balances_pkey                   | id               | t            | t
 yukyu_requests         | ix_yukyu_requests_employee_id         | employee_id      | f            | f
 yukyu_requests         | ix_yukyu_requests_factory_id          | factory_id       | f            | f
 yukyu_requests         | ix_yukyu_requests_id                  | id               | f            | f
 yukyu_requests         | ix_yukyu_requests_status              | status           | f            | f
 yukyu_requests         | yukyu_requests_pkey                   | id               | t            | t
 yukyu_usage_details    | ix_yukyu_usage_details_balance_id     | balance_id       | f            | f
 yukyu_usage_details    | ix_yukyu_usage_details_id             | id               | f            | f
 yukyu_usage_details    | ix_yukyu_usage_details_request_id     | request_id       | f            | f
 yukyu_usage_details    | ix_yukyu_usage_details_usage_date     | usage_date       | f            | f
 yukyu_usage_details    | yukyu_usage_details_pkey              | id               | t            | t
(158 rows)

